Category,Appliance,Type,min_power_w,max_power_w,hours_per_day_min,hours_per_day_max,surge_factor,Notes
Agricultural & Farming Equipment,Greenhouse Systems,Ventilation Fan,100,500,6,12,1.2,"Essential climate control equipment in commercial and semi-commercial greenhouses. Used primarily during hot seasons to maintain optimal growing temperatures between 20-30°C. Popular in urban farming initiatives, flower cultivation businesses, and hydroponic setups."
Agricultural & Farming Equipment,Greenhouse Systems,Grow Lights (LED/HID),50,500,6,18,1,"Artificial lighting systems for year-round crop production and supplemental lighting during cloudy periods. LED variants are increasingly preferred due to energy efficiency and longer lifespan. Common in hydroponic setups, commercial vegetable production, and indoor farming operations, especially where natural light is insufficient for optimal plant growth."
Agricultural & Farming Equipment,Incubators,Small Egg Incubator (50–200 eggs),100,500,24,24,1,"Automated hatching equipment for small-scale poultry operations maintaining precise temperature (37.5°C) and humidity levels. Essential for broiler and layer production in both rural and urban settings. Often used by cooperative farming groups, individual entrepreneurs, and small commercial hatcheries."
Agricultural & Farming Equipment,Irrigation Systems,Drip Irrigation Pump,100,500,2,6,1.5,"Water-efficient irrigation technology gaining popularity among progressive farmers for precise water delivery to plant roots. Particularly valuable during dry seasons and in areas with water scarcity. Commonly used for high-value crops like tomatoes, peppers, leafy vegetables, and fruit orchards. Reduces water waste by 30-50% compared to flood irrigation."
Agricultural & Farming Equipment,Livestock Equipment,Automatic Watering System,50,200,4,12,1,"Reduces labor costs and ensures consistent clean water supply for livestock health and productivity. Popular in modern poultry houses, cattle ranches, goat farming operations, and pig farms. Essential for maintaining animal welfare standards and optimizing feed conversion ratios in commercial livestock operations."
Agricultural & Farming Equipment,Sprayers,Electric Knapsack Sprayer,60,150,2,6,1,"Mechanized spraying equipment that reduces manual labor and ensures uniform application of pesticides, herbicides, and fertilizers. Widely used by smallholder farmers for crop protection programs. More efficient than manual sprayers with better coverage and reduced operator fatigue during field applications."
Computing & Communication,Desktop PC,Basic Office/Desktop,100,200,4,10,1,"Standard computing equipment found in educational institutions, cybercafés, government offices, and small businesses. Often shared among multiple users in computer training centers and business centers. Typical specifications include 4-8GB RAM, basic processors suitable for office applications, internet browsing, and educational software."
Computing & Communication,Desktop PC,High-Performance/Gaming,300,800,2,8,1,"Specialized computers with dedicated graphics cards for gaming, video editing, 3D rendering, and CAD applications. Popular in creative industries, architectural firms, media production houses, and gaming lounges in urban areas. Higher power consumption due to powerful GPUs and processors."
Computing & Communication,Desktop PC,All-in-One PC,60,150,4,10,1,"Space-saving computer solution combining monitor and CPU in single unit, reducing cable clutter and desk space requirements. Preferred in modern offices, reception areas, and upscale homes where aesthetics and space efficiency are priorities. Generally more expensive than traditional desktop setups."
Computing & Communication,Laptop,"Ultrabook (13–14"")",30,60,4,10,1,"Premium portable computers emphasizing thinness, light weight, and long battery life. Popular among business professionals, students, and frequent travelers. Brands like Dell XPS, MacBook Air, and HP Envy dominate this segment. Higher cost limits widespread adoption to affluent users and corporate environments."
Computing & Communication,Laptop,"Standard/Business (15"")",45,90,4,10,1,"Most common laptop category in Nigeria offering balanced performance, screen size, and affordability. Popular among university students, office workers, small business owners, and middle-class professionals. Brands like HP, Lenovo, and Dell Inspiron are widely available and serviced locally."
Computing & Communication,Laptop,Gaming Laptop,100,250,2,8,1,"High-performance portable computers with dedicated graphics cards for gaming and resource-intensive applications. Popular among young professionals in tech, media, creative industries, and serious gamers. Higher power consumption and heat generation require robust cooling systems."
Computing & Communication,Laptop,Workstation Laptop,120,300,4,10,1,"Professional-grade laptops with workstation-class processors and graphics for engineering, architectural CAD work, video editing, and scientific applications. Used by architects, engineers, media production companies, and research institutions. Premium pricing reflects professional-grade components and reliability."
Computing & Communication,Monitors,"Small LED (19–24"")",15,40,4,10,1,"Standard office monitors found in businesses, schools, government offices, and computer centers. Cost-effective solution for basic computing needs, document editing, and internet browsing. Good balance of size and affordability for budget-conscious organizations."
Computing & Communication,Monitors,"Medium LED (25–32"")",30,80,4,10,1,"Larger displays used in design studios, modern offices, home entertainment setups, and professional workstations. Growing popularity due to increasing multimedia consumption, video conferencing needs, and multitasking requirements in modern work environments."
Computing & Communication,Monitors,High-end 4K/Curved,60,150,2,8,1,"Premium displays offering ultra-high resolution and immersive curved screens for professional designers, video editors, gamers, and luxury home offices. Limited market due to high cost but growing among affluent users, creative professionals, and gaming enthusiasts."
Computing & Communication,Networking Devices,Wi-Fi Router (Basic),5,15,6,24,1,"Essential internet connectivity device providing wireless network access in homes, small offices, and businesses. Major ISPs like MTN, Airtel, Glo, and 9mobile provide these as part of broadband packages. Basic models support 802.11n/ac standards with typical range of 30-50 meters indoors."
Computing & Communication,Networking Devices,4G/5G LTE MiFi,5,20,4,12,1,"Portable internet hotspots enabling wireless internet access for multiple devices using cellular data networks. Popular among students, mobile professionals, remote workers, and as backup internet during fixed broadband outages. Battery-powered operation provides 4-8 hours of continuous use."
Computing & Communication,Networking Devices,Fiber Optic Modem/ONT,10,30,6,24,1,"Advanced internet connectivity equipment for high-speed fiber broadband services delivering gigabit internet speeds. Used by premium ISPs like IPNX, Smile, Spectranet, and MainOne for commercial and residential high-speed internet packages in urban areas."
Computing & Communication,Printers,Inkjet Printer,20,50,0.25,1,1.5,"Common home and small office printing solution using liquid ink cartridges for color and black-and-white printing. Lower initial purchase cost but higher per-page printing costs due to expensive ink cartridges. Popular for occasional printing needs, photos, and color documents"
Computing & Communication,Printers,Laser Printer,250,500,0.25,1,1.5,"Professional printing equipment using toner cartridges for high-volume, fast document production. Preferred in offices, schools, and businesses due to lower per-page costs, faster printing speeds, and crisp text quality. Higher initial cost but more economical for frequent printing."
Computing & Communication,Printers,All-in-One (Print/Scan/Copy),30,100,0.25,1,1.5,"Multifunction devices combining printing, scanning, copying, and sometimes faxing capabilities in single unit. Popular in cybercafés, small businesses, modern offices, and homes needing multiple document services. Space-saving solution with shared power supply for all functions."
Computing & Communication,Printers,Large Industrial Printer,1000,3000,2,8,1.5,"High-capacity commercial printing equipment for printing presses, large offices, universities, and commercial printing services. Heavy-duty construction for continuous operation with high monthly page volumes and professional print quality."
Computing & Communication,Printers (Solar),Compact DC Solar Printer,50,200,0.5,2,1.5,"Low-power printers designed for solar power systems and off-grid locations. Used by small businesses, rural offices, and mobile printing services where grid electricity is unreliable. Direct current operation compatible with solar battery systems."
Computing & Communication,Projectors,Portable Pico Projector,10,30,0.25,2,1,"Ultra-compact projection devices for mobile presentations, personal entertainment, and small group meetings. Limited brightness (50-300 lumens) suitable for darkened rooms and close viewing distances. Popular among traveling professionals and students for presentations."
Computing & Communication,Projectors,Standard LED Projector,50,150,1,4,1,"Versatile projection equipment with moderate brightness (1500-3000 lumens) for classrooms, conference rooms, churches, small auditoriums, and home theaters. Good balance of portability, image quality, and affordability for general presentation needs."
Computing & Communication,Projectors,High-Brightness (LCD/DLP),200,500,2,6,1,"Professional projection equipment with high brightness (3000+ lumens) for large venues, conferences, outdoor events, and well-lit environments. Higher cost justified by superior image quality, longer lamp life, and professional features for commercial applications."
Computing & Communication,Projectors,Cinema-Grade Projector,1000,3000,4,12,1,"Professional cinema projection equipment for movie theaters, large auditoriums, and premium home theaters. Ultra-high brightness, resolution, and color accuracy for theatrical presentations. Rare due to high cost and specialized installation requirements."
Computing & Communication,Projectors (Solar),Portable DC Solar Projector,50,150,2,6,1.5,"Low-power projectors designed for solar power systems, rural schools, and off-grid educational programs. Direct current operation compatible with solar batteries, supporting education and community programs in remote areas."
Computing & Communication,Scanners,Flatbed Scanner,10,30,0.25,1,1,"Basic document and photo scanning equipment for offices, schools, and homes. Glass surface accommodates various document sizes up to A4/Letter format. Suitable for occasional scanning needs, archiving documents, and digitizing photos."
Computing & Communication,Scanners,Document Scanner (ADF),20,60,0.25,1,1,"High-speed scanning equipment with automatic document feeders for bulk document processing. Used in businesses, banks, government offices, and service bureaus for digitizing large volumes of documents quickly and efficiently."
Computing & Communication,Servers/Workstations,Small Server (Home/Office),200,500,6,24,1.2,"Entry-level server equipment for small businesses, home offices, and IT service providers. Provides file sharing, backup services, small website hosting, and basic network services. Growing importance as businesses digitize operations."
Computing & Communication,Servers/Workstations,Rack Server,500,1200,12,24,1.2,"Professional server equipment mounted in standard 19-inch racks for data centers, banks, large offices, and IT infrastructure. Higher processing power, redundancy, and reliability for mission-critical business applications and services."
Computing & Communication,Servers/Workstations,Blade Server,800,2500,12,24,1.2,"High-density server systems with multiple server modules in shared chassis for large enterprises, universities, cloud service providers, and data centers. Maximum computing power per rack unit with shared cooling, power, and networking infrastructure."
Cooling Appliances,Air Conditioner,1 HP (Small Room),750,1200,2,10,3,"Entry-level air conditioning suitable for bedrooms, small offices, hotel rooms, and apartments up to 12-15 square meters. Most affordable option for basic cooling needs. Available in window and split unit configurations with basic temperature control features."
Cooling Appliances,Air Conditioner,1.5 HP (Medium Room),1200,1800,2,10,3,"Most popular AC capacity in Nigerian homes providing optimal balance of cooling performance, energy efficiency, and affordability. Suitable for living rooms, master bedrooms, and medium offices up to 20-25 square meters. Standard choice for middle-class households."
Cooling Appliances,Air Conditioner,2 HP (Large Room),1800,2500,2,10,3,"Powerful cooling solution for large living rooms, open-plan offices, hotel suites, small halls, and commercial spaces up to 35-40 square meters. Higher energy consumption justified by coverage area and cooling effectiveness in hot climates."
Cooling Appliances,Air Conditioner,3 HP (Commercial Use),2500,3500,2,12,3,"Commercial-grade air conditioning for shops, banks, restaurants, large offices, small auditoriums, and business premises. Professional installation required with appropriate electrical infrastructure to handle high power demands and continuous operation."
Cooling Appliances,Air Conditioner,Portable AC,1000,1500,2,8,3,"Mobile air conditioning units with wheels for easy relocation between rooms. Less common due to lower efficiency but useful in rented apartments, temporary installations, and situations where permanent installation isn't feasible."
Cooling Appliances,Air Conditioner,Standing (Floor Unit),1500,2500,2,8,3,"Tall upright air conditioning units for offices, churches, event halls, and commercial spaces. Professional appearance suitable for visible installation in public spaces. Often solar-compatible models available for off-grid applications."
Cooling Appliances,Air Conditioner,1 HP Solar DC ,700,1000,2,10,3,Entry-level solar air conditioner designed for small rooms in off-grid homes. DC compressor technology optimized for direct solar power connection with battery backup.
Cooling Appliances,Air Conditioner,1.5 HP Solar DC ,1200,1800,2,10,3,Most popular solar AC capacity providing effective cooling for medium rooms while maintaining reasonable solar power consumption. Ideal for solar-powered homes.
Cooling Appliances,Air Conditioner,2 HP Solar DC ,1800,2500,2,10,3,Larger capacity solar air conditioner for spacious rooms and offices in solar buildings. Requires larger solar panel arrays and battery systems.
Cooling Appliances,Air Conditioner,Portable Solar AC (24V DC),500,1000,2,8,3,Compact mobile cooling unit designed for 24V solar systems. Lightweight and movable solution for flexible cooling in solar-powered spaces.
Cooling Appliances,Ceiling Fan,Standard Ceiling Fan,70,90,6,18,1.2,"Most ubiquitous cooling appliance in Nigerian homes, classrooms, and offices. Operates 6-18 hours daily in tropical climate. Popular brands include Orl, Panasonic, QASA."
Cooling Appliances,Ceiling Fan,Premium Ceiling Fan,80,120,6,18,1.2,"Higher-quality fans with superior motors, balanced blades, and quieter operation. Preferred in modern apartments, hotels, and upscale offices."
Cooling Appliances,Fan,Standing Fan (12/24V DC),20,60,4,16,1.2,Direct current standing fans designed for solar power systems and low-voltage applications. Energy-efficient operation compatible with car batteries and solar systems.
Cooling Appliances,Fan,Table Fan (12V DC),15,40,4,12,1.2,Small DC-powered table fans for personal cooling in solar-powered homes and vehicles. Portable solution for individual cooling needs in off-grid situations.
Cooling Appliances,Fan,Rechargeable solar Fan (with battery),20,50,2,12,1.2,Battery-powered fans with integrated solar charging panels. Popular during outages with built-in battery providing hours of operation.
Cooling Appliances,Fan,Ceiling Fan (24V DC),30,75,6,18,1.2,Direct current ceiling fans designed for 24V solar systems. Energy-efficient cooling solution widely used in solar-powered homes and off-grid buildings.
Cooling Appliances,Rechargeable Fan,Small Rechargeable Fan,15,30,2,10,1.2,Compact battery-powered fans for personal cooling during power outages. Built-in rechargeable battery provides 4-8 hours operation with LED lighting function.
Cooling Appliances,Rechargeable Fan,Large Rechargeable Fan,30,60,2,12,1.2,Higher-capacity battery-powered fans with stronger airflow and longer operating times. Built-in batteries provide 6-12 hours continuous operation.
Cooling Appliances,Standing Fan,Basic Standing Fan,60,120,4,16,1.2,"Most common household cooling appliance offering portable personal cooling. Adjustable height and oscillation features. Popular brands include Ox, QASA, Binatone, Century."
Cooling Appliances,Standing Fan,Rechargeable Standing Fan,15,60,2,12,1.2,Battery-powered standing fans designed for frequent power outages. Built-in rechargeable batteries with LED lighting and USB charging ports.
Cooling Appliances,Table Fan,Small Table Fan,30,50,4,12,1.2,"Compact personal cooling fans for desks, bedside tables, and small spaces. Portable and affordable solution for individual cooling in hostels and offices."
Cooling Appliances,Table Fan,Medium Table Fan,50,100,4,12,1.2,Slightly larger table fans with more powerful motors and better airflow coverage. Sometimes includes remote control and timer features.
Cooling Appliances,Table Fan,Rechargeable Table Fan,15,40,2,12,1.2,"Battery-powered personal fans popular during power cuts. Built-in rechargeable batteries provide 4-8 hours operation with LED lamp functionality. Brands like QASA, Lontor, Ox."
Educational & Institutional Appliances,AV Equipment,PA System (small hall),200,800,2,6,1.5,"Public address systems for lecture halls, schools, and training facilities. Essential for clear audio communication in educational settings for 50-200 person capacity."
Educational & Institutional Appliances,Classroom Tools,Document Camera,10,30,2,6,1,Visual presentation devices for displaying physical documents and objects to entire classroom via projector. Used for live teaching demonstrations and detailed material examination.
Educational & Institutional Appliances,Classroom Tools,Slide Projector,100,250,2,6,1.5,Legacy projection equipment still found in some schools for displaying 35mm slides. Being replaced by digital projectors but functional for archived materials.
Educational & Institutional Appliances,Digital Displays,"Classroom LED Screen (32–55"")",80,250,2,8,1,Modern teaching aids replacing traditional blackboards in progressive schools. Interactive displays enabling multimedia presentations and enhanced learning.
Educational & Institutional Appliances,Language Lab Equipment,Headsets + Consoles,50,150,2,6,1,"Specialized audio equipment for language learning laboratories enabling individual instruction, pronunciation practice, and listening comprehension exercises."
Educational & Institutional Appliances,Library Equipment,Barcode Scanner,5,15,2,8,1,Digital inventory management tools for tracking book borrowing and returns. Essential equipment for modern library operations and catalog management.
Educational & Institutional Appliances,Library Equipment,Library Kiosk,100,300,6,12,1.2,Self-service computer stations for patron access to digital catalogs and library services. Modern libraries use these for 24/7 resource access.
Educational & Institutional Appliances,Other Classroom Devices,Electronic Bell System,50,150,2,12,1,"Automated timekeeping systems for schools to signal class periods, breaks, and dismissals. Replaces manual bell ringing with programmed schedules."
Educational & Institutional Appliances,Other Classroom Devices,Classroom Fan (wall-mounted),40,80,6,12,1.2,Fixed ventilation fans for classroom air circulation and cooling. Wall-mounted design saves floor space while providing air movement.
Educational & Institutional Appliances,Overhead Projectors,Classroom Overhead Projector,250,500,2,6,1.5,Traditional projection equipment using transparencies for displaying written materials. Still found in older classrooms with limited digital equipment budgets.
Educational & Institutional Appliances,Science Lab Equipment,Microscope (digital),20,60,2,6,1,Advanced microscopes with digital cameras for specimen examination and image capture. Enable projection of microscopic images for class demonstration.
Educational & Institutional Appliances,Science Lab Equipment,Centrifuge (small),100,500,1,4,1.5,Laboratory equipment for separating substances by spinning samples at high speeds. Used in medical training labs and biology education.
Educational & Institutional Appliances,Smart Boards,Interactive Whiteboard,100,300,2,6,1.2,Advanced teaching technology allowing touch interaction and digital content display. Found in modern schools embracing digital education methods.
Educational & Institutional Appliances,Specialized Devices,3D Printer (educational),50,200,2,6,1.5,Advanced manufacturing equipment for STEM education and engineering programs. Enables students to create physical prototypes and understand manufacturing.
Educational & Institutional Appliances,Specialized Devices,Robotics Kits (charging),20,100,2,6,1,"Educational technology for coding, robotics, and STEM learning. Requires charging stations for robot components used in technology education."
Entertainment & Media Electronics,Gaming Consoles,PlayStation (PS4/PS5),90,200,2,6,1,Sony gaming platform popular among youth in gaming lounges and entertainment centers. Growing gaming culture in urban areas driving demand.
Entertainment & Media Electronics,Gaming Consoles,Xbox Series X/S,80,200,2,6,1,Microsoft gaming console with smaller market share but present in urban gaming setups and entertainment centers with multiple platforms.
Entertainment & Media Electronics,Gaming Consoles,Nintendo Switch,10,30,2,6,1,Portable gaming console with unique handheld/docked functionality. Rare due to high cost and limited availability but popular among serious gamers.
Entertainment & Media Electronics,Home Theater Systems,Compact 2.1 Channel,50,150,2,6,1.2,Basic surround sound systems with two speakers and subwoofer for enhanced TV audio experience compared to built-in TV speakers.
Entertainment & Media Electronics,Home Theater Systems,Full 5.1 Surround,150,500,2,6,1.2,Complete surround sound systems with five speakers plus subwoofer for immersive audio experience in premium home entertainment setups.
Entertainment & Media Electronics,Home Theater Systems,Soundbar (with Subwoofer),50,200,2,6,1.2,Modern slim audio solution combining multiple speakers in bar-shaped enclosure. Space-saving alternative to traditional surround systems.
Entertainment & Media Electronics,Media Players,DVD Player,15,30,1,5,1.1,Legacy digital media players still used for movie collections and recorded content. Being replaced by streaming devices but functional for disc libraries.
Entertainment & Media Electronics,Media Players,Blu-ray Player,20,40,1,5,1.1,High-definition disc players rare in Nigerian market due to high cost and limited content availability. Found only in premium entertainment setups.
Entertainment & Media Electronics,Musical Instruments,Electric Keyboard,30,80,1,4,1.1,"Electronic musical instruments widely used in churches, schools, music training institutes, and home entertainment. Essential for worship and music education."
Entertainment & Media Electronics,Musical Instruments,Electric Guitar + Amp,50,200,1,4,1.2,"Amplified string instruments common in churches, musical groups, and concerts. Popular for contemporary worship and band performances."
Entertainment & Media Electronics,Musical Instruments,Drum Set (Electronic),40,100,1,3,1.1,"Electronic percussion instruments used in music bands, churches, and training schools. Quieter alternative to acoustic drums for apartment living."
Entertainment & Media Electronics,Other Electronics,Karaoke Machine,50,150,1,6,1.2,"Entertainment equipment for singing along to recorded music tracks, popular at social gatherings and family entertainment in homes and bars."
Entertainment & Media Electronics,Other Electronics,DJ Equipment (Mixer + Turntable),150,500,2,8,1.3,"Professional audio mixing equipment for DJs, clubs, wedding receptions, and entertainment events. Essential for music entertainment."
Entertainment & Media Electronics,Photography Equipment,DSLR Camera (charging),10,30,1,4,1,"Professional photography equipment requiring regular battery charging for photographers, videographers, and media professionals in growing creative industry."
Entertainment & Media Electronics,Photography Equipment,Studio Light (Softbox/LED),50,200,2,6,1.5,Professional lighting equipment for photo and video production studios. Essential for portrait photography and video content creation.
Entertainment & Media Electronics,Photography Equipment,Video Camera (charging),20,60,1,4,1,"Professional videography equipment for media coverage, weddings, and content creation. Requires regular charging for extended recording sessions."
